Read	abyss	spades	edena	reference	CISA
M12125	20.5371829282	23.1099879532	19.6925885449	19.5228204178	27.0123145286	
M19501	16.0633837831	22.0560277357	19.2090188416	22.7595659653	25.3968766799	
M21384	20.6606282338	23.1185601546	19.9917371511	19.2136010407	27.0159956345	
M26933	18.4135693362	22.1469409278	17.8674536644	17.8902064052	24.878180302	
M25391	13.3942109901	20.6803413764	13.1858643962	Missing	22.1845817599	
M21952	14.6608816395	20.5282060151	18.7308871774	19.2332643758	23.8308409444	
M5178_	14.0128582065	17.6368433147	14.7329163723	18.0982319088	21.3740911808	
M24221	19.1586766113	21.980142504	19.1325698941	20.4533635871	25.1112073834	
M25313	19.9273445957	21.9454611401	18.6075190102	21.1018544866	25.1071456263	
M06297	19.6074730255	21.7149433536	18.8927978994	20.9833247091	25.0036868845	
M18882	20.8721252852	18.610661299	18.5869888981	23.4751387231	25.0049982443	
M24260	14.5288804945	20.675844206	17.1552121421	21.5604009426	24.4363615175	
M25318	13.1738493555	19.4849695542	13.3151038021	Missing	22.6455385952	
M21590	14.0606614444	19.5312640789	14.9027314665	17.8292930306	23.7972891533	
M23817	13.753273926	20.8921656682	14.4917626722	18.1216659515	23.8457482696	
M13220	13.8647669001	17.8535460535	14.2394286881	16.6267161897	21.5746171417	
M24735	20.1201015089	18.1317862105	18.0085209331	18.3866354474	21.1567999083	
M25686	13.6832271351	20.4927772064	12.8663163968	Missing	Missing	
M24672	13.5376168806	20.6991209177	16.7327011324	20.759843421	24.1379924073	
M25371	13.3971209764	20.6558583862	12.9695419804	Missing	Missing	
M25331	13.5018552626	20.0986290937	12.9101977847	Missing	Missing	
M22669	19.7443636859	18.0896334564	17.5600257074	18.1036852428	21.481965047	
M21503	13.7926794802	19.5945846601	15.1617642149	17.7671495729	22.0246661367	
M24329	14.4003692915	20.0982161508	17.6860365898	18.9911669412	23.4881543324	
M10699	13.6833429445	17.607220947	14.2369849605	16.9604683979	21.50961885	
M25823	12.9928692693	20.3235960371	14.0127072699	Missing	22.0414178922	
M25862	14.3418934017	20.466909443	13.1026355816	Missing	Missing	
M15895	18.9005470352	24.1086264331	20.2334874588	19.776602562	26.2958357719	
M21639	16.3113907634	20.6715268377	18.9270290607	22.1749595266	24.2939886557	
M21621	16.1465804056	21.9719247809	17.4591609385	21.4249284296	24.0050219736	
M19107	16.5475070238	22.6943062835	20.3659729062	19.9225544717	25.1907909016	
M9261_	13.7617286051	17.5717398206	14.2187011054	16.9633665734	20.4132815643	
M27819	14.6972689348	20.7788668047	13.610840834	Missing	22.1063778962	
M21480	20.7800266965	23.2747720992	19.9632940326	22.0603593239	27.0567734061	
M17648	21.0670451877	23.2258340847	20.642582545	19.8213120232	27.0290346429	
M25588	17.8267392603	22.0800411911	17.1211254059	17.3353594477	23.9833657828	
M21487	14.4130364382	20.4339915658	16.4686130273	18.4873510792	23.567655469	
M21127	16.2812250965	22.1919788565	19.6138178983	22.3776349288	25.1422150203	
M25778	13.4845891438	19.9824781984	12.9471276964	Missing	Missing	
M25753	13.7157318128	19.456904655	13.2658730708	Missing	21.2739583869	
M08706	20.3212635955	22.5050650951	19.802436029	19.7489192775	26.0941674125	
M26329	17.3470436445	21.3130066099	16.75253872	17.3310425325	24.1850353643	
M12522	20.7528387183	22.6301013175	20.43087205	19.4987534413	25.6075125906	
M25267	18.1433241649	21.9695550347	17.5628589535	17.7690219207	24.5316655765	
M24555	14.5183042958	20.3439794631	13.2903377757	Missing	22.2092226043	
M25249	13.9760656273	21.0006613963	16.7975759989	19.5547446698	24.1068299093	
M22962	13.5627827211	20.0132821233	14.8510277757	17.7787291642	23.6125875246	
M22960	14.0177322501	20.8471968597	16.1679295037	18.6606595025	23.5745984213	
M24268	13.072376926	20.5361460042	15.6885621347	20.1144033635	24.2936567976	
M24292	13.601948594	20.2094122008	16.1080907354	18.7688902784	21.8212163237	
M24332	14.0190585586	20.624047514	13.0164842088	Missing	Missing	
M25875	14.5166943644	20.2717840964	13.307058414	Missing	22.6271401515	
M25777	13.0631922835	20.334269978	13.9104206577	17.0468559184	23.2432237956	
