Read	abyss	spades	edena	reference	CISA
M12125	1.98792603238	2.93860911824	1.68564065497	1.53267180637	2.02375739329	
M19501	0.522022591916	2.55157271516	1.57096238131	3.04449685671	0.431855822534	
M21384	2.06790160676	2.97394803436	1.81374608361	1.51388989764	1.98067832903	
M26933	1.14848605107	2.71429052317	0.962078495384	1.10246338353	0.404313470594	
M25391	-0.0127655341365	2.99188126557	1.26580603562e-05	Missing	0.00494241581517	
M21952	0.0997038424737	2.74576234235	1.73292259634	2.01417991762	0.0875983717557	
M5178_	0.00487835587422	1.36305210886	0.117815389716	1.59515347844	0.00778491561832	
M24221	1.50896437582	2.65911403295	1.41820026163	2.08791113459	0.555579075888	
M25313	1.94289575991	2.68899672671	1.35156943954	2.40868281458	0.349018443159	
M06297	1.71334506896	2.52170868564	1.45699859282	2.29823191913	0.27197333558	
M18882	3.10190087639	1.82767481089	1.84591052848	4.34704457356	0.337335207211	
M24260	0.0579943876612	3.16483437156	1.22967890188	3.53672981501	0.171685194848	
M25318	0.003924294165	2.57566505932	1.34144798194e-06	Missing	0.00799947894093	
M21590	-0.0135497970945	2.42847704195	0.162236462854	1.35517329727	0.0959201875982	
M23817	-0.0234729333919	2.94424046511	0.0710311360444	1.6226500001	0.0994450153848	
M13220	0.0160316355354	1.5516421481	0.0411267727877	0.917788003012	0.0088607380571	
M24735	2.67091750217	1.59314032076	1.5259644404	1.61422017702	0.00603903121356	
M25686	-0.024836202537	2.81254389067	1.7202712186e-05	Missing	0.0339054810592	
M24672	-0.00793346095067	2.99895273951	0.954875032525	3.09870139703	0.119884042053	
M25371	-0.0197472658303	3.15425764883	3.54989147917e-06	Missing	0.0364793442649	
M25331	-0.0165311360024	2.84616217955	1.16692277561e-05	Missing	Missing	
M22669	2.45461560095	1.56348423984	1.30781457906	1.47937164428	0.00872146607186	
M21503	-0.00879991527535	2.36221015118	0.217663966952	1.30137302147	0.037101546953	
M24329	0.0420843899367	2.60493682009	1.32843404765	1.90819900309	0.0714735449548	
M10699	0.00795748771033	1.35532962771	0.0371886887273	1.14798366218	0.00797913914534	
M25823	0.00333634129246	2.8181951005	0.0211249140519	Missing	0.00425551657119	
M25862	0.0312547337983	2.76609353733	0.00208779620127	Missing	0.0417718800106	
M15895	1.62578521809	3.60420856726	2.08575463926	1.72595694416	1.08801411767	
M21639	0.825549693296	3.08343545037	2.14758916121	4.19658337353	0.167608932593	
M21621	0.579514033373	2.66697111461	1.02647167072	3.09127605659	0.113387101029	
M19107	0.695289503576	2.80143571262	1.9903042309	2.06441999455	0.372200363073	
M9261_	0.0140307037908	1.27471234241	0.0395999547322	1.06801865469	0.00236797646739	
M27819	0.110288754623	2.89159801769	0.012585005546	Missing	0.00455451480843	
M21480	2.1472717131	3.34414538458	1.83215312852	2.69669778158	2.86215326618	
M17648	2.2028355993	3.00611172664	2.05024448826	1.64115183624	2.07798776429	
M25588	0.917967412794	2.69644652815	0.709766907285	0.77275831496	0.283912722506	
M21487	0.0475183230096	2.59380425199	0.698631566659	1.65184825005	0.0768606671288	
M21127	0.665210039282	2.94239524301	1.92650422793	3.08311978949	0.334339841899	
M25778	-0.0227753167349	2.5198081849	1.91022779489e-05	Missing	0.016070883514	
M25753	-0.0125426858434	2.34956350343	5.52737826794e-05	Missing	0.00681847076431	
M08706	2.11469844414	2.96161899048	1.8553873076	1.58706428799	0.836084943192	
M26329	0.749124376579	2.41816033862	0.56548303583	0.894067408592	0.118359359536	
M12522	2.11196388027	2.77917180689	1.95391981718	1.53675092935	0.646509515065	
M25267	1.13568752631	2.88049704301	0.846699270908	1.01842160766	0.198482422646	
M24555	0.0610810765668	2.98114303121	0.00541454038456	Missing	0.00507134054776	
M25249	-0.0233376159836	3.02116545141	0.967856671674	2.30782189965	0.124743141679	
M22962	-0.036739309321	3.08442329974	0.150545534316	1.48108945059	0.0779373359191	
M22960	-0.00595153284588	3.01901778793	0.648274459921	1.77124897398	0.0747231372406	
M24268	0.00391137919877	2.87260814304	0.446569083786	2.69996531212	0.149480911883	
M24292	-0.00145687774757	2.6922665036	0.620255828475	1.79657216689	0.0535180124278	
M24332	-0.00810070632208	2.98341210469	0.000487119359647	Missing	0.0364495083728	
M25875	0.0704013698334	2.64905547515	0.00408133357823	Missing	0.0265368181024	
M25777	0.00400022987121	2.76298809138	0.0194751847069	1.1446048527	0.0461963123617	
