Read	abyss	spades	edena	reference	CISA
M12125	2.31419921083	3.42091546244	1.96230051317	1.78422528151	2.3559114807	
M19501	0.607700815104	2.97035577159	1.82880038987	3.54418228264	0.502735206149	
M21384	2.4073009702	3.46205446383	2.11143155578	1.76236074649	2.3057619606	
M26933	1.33698410793	3.15978003425	1.11998196035	1.28340785852	0.470672398939	
M25391	-0.0110841233902	2.59780599557	0	Missing	0.00429142612877	
M21952	0.0865713632222	2.38410459581	1.50467091139	1.74888245946	0	
M5178_	0	1.18351786932	0.102297350265	1.38504803577	0	
M24221	1.75662681146	3.09554756883	1.65096581703	2.43059461028	0.646764838343	
M25313	2.26177823574	3.13033483213	1.57339904977	2.80401371974	0.406301941102	
M06297	1.99455198125	2.93559023584	1.69613201837	2.67543480337	0.316611618497	
M18882	2.69333438699	1.58694284975	1.60277665205	3.77447413644	0.292903142212	
M24260	0.0503556640798	2.74797860464	1.06771189776	3.07088988586	0.149071700692	
M25318	0	2.23641165533	0	Missing	0	
M21590	-0.0117650872499	2.10861048942	0.140867507261	1.17667681441	0.0832860719797	
M23817	-0.02038119888	2.55644019724	0.0616752787658	1.40892285649	0.0863466275113	
M13220	0	1.34726779491	0	0.796901669971	0	
M24735	2.31911793447	1.38330004091	1.3249722233	1.40160336651	0.0052436009659	
M25686	-0.0215649051987	2.44209002077	0	Missing	0.0294396248246	
M24672	0	2.6039460512	0.829103785989	2.69055632666	0.104093530316	
M25371	-0.0171462571594	2.73879499364	0	Missing	0	
M25331	0	2.4712802809	0	Missing	Missing	
M22669	2.13130621136	1.35755010701	1.13555594391	1.28451639155	0.00757271924938	
M21503	-0.00764083552575	2.05107193395	0.188994384528	1.12996283527	0	
M24329	0.0365412497333	2.26182788976	1.15345952175	1.65686080795	0	
M10699	0	1.17681255381	0	0.996777136428	0	
M25823	0	2.4469968822	0.0183424486163	Missing	0	
M25862	0.0271380204106	2.40175786997	0	Missing	0.0362699020133	
M15895	1.89262115762	4.19575803432	2.42808417492	2.00923381104	1.26658707188	
M21639	0.961045037695	3.58951176736	2.50006743767	4.88535779149	0.19511815491	
M21621	0.674628178739	3.10469421306	1.19494382167	3.59863923209	0.131997033815	
M19107	0.809405578609	3.26122813913	2.31696773694	2.40324792994	0.43328864981	
M9261_	0	1.10681376425	0	0.927344709988	0.00205607874054	
M27819	0.0957620849804	2.51073154326	0	Missing	0	
M21480	2.49969788762	3.89301135144	2.13285970155	3.1392998413	3.33191110835	
M17648	2.56438133131	3.49949710006	2.38674583432	1.91050985922	2.41904254278	
M25588	1.06863103941	3.13900735029	0.826259121292	0.899589146432	0.330510586241	
M21487	0.0412594529851	2.25216164648	0.606611396463	1.43427526257	0.0667369738861	
M21127	0.774389249331	3.42532299411	2.24269640384	3.58914429787	0.389214178831	
M25778	-0.0197754687146	2.1879119622	0	Missing	0.0139541090842	
M25753	-0.0108906275324	2.04009103785	0	Missing	0	
M08706	2.46177845194	3.44770188574	2.15990724659	1.84754506102	0.973309411015	
M26329	0.87207623063	2.81504676539	0.658294309716	1.04080838909	0.137785376302	
M12522	2.45859507114	3.23531011591	2.27461164313	1.78897390045	0.752619456249	
M25267	1.32208499427	3.35326560201	0.985665840995	1.18557252249	0.231058831349	
M24555	0.0530357901388	2.58848214641	0	Missing	0	
M25249	-0.0202637047874	2.6232330185	0.840375550147	2.00384742423	0.108312614237	
M22962	0	2.67815886718	0.130716447926	1.28600793721	0.0676718293801	
M22960	-0.00516762743488	2.62136823425	0.562887069797	1.53794913495	0.0648809884821	
M24268	0	2.49424291759	0.387749292275	2.34433971574	0.129792052105	
M24292	0	2.33765495483	0.538558908919	1.55993688664	0.0464688940553	
M24332	-0.00703372279309	2.59045234916	0	Missing	0	
M25875	0.0611284621333	2.30013546164	0	Missing	0.0230415243958	
M25777	0	2.39906145744	0.0169100131675	0.993843366419	0.0401115708058	
